job_title,count,Replacement
AI Engineer,105,AI Engineer
AI Architect,28,AI Engineer
AI Scientist,24,AI Research Engineer
AI Developer,19,AI Engineer
AI Programmer,7,AI Engineer
AI Research Engineer,7,AI Research Engineer
AI Product Manager,3,AI Manager
AI Software Engineer,2,AI Engineer
AI Research Scientist,2,AI Research Engineer
