job_title,count
Business Intelligence Engineer,230
Business Intelligence Analyst,147
Business Intelligence,50
Business Intelligence Developer,49
Business Data Analyst,21
Business Intelligence Manager,16
Business Intelligence Specialist,4
Business Intelligence Lead,4
Business Intelligence Data Analyst,2
